2017-03-09 12:02:20 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-09 12:09:37 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-09 12:32:23 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40435], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [468]
2017-03-09 12:33:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40432], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [128]
2017-03-09 12:33:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40817], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [391]
2017-03-09 12:34:14 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40816], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [253]
2017-03-09 12:35:37 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41876], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [247]
2017-03-09 12:35:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40846], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [128]
2017-03-09 12:37:09 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40493], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [111]
2017-03-09 12:37:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41167], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [248]
2017-03-09 12:37:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40431], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [128]
2017-03-09 12:37:46 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40815], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [256]
