2017-03-09 7:11:32 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-03-09 7:23:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41599], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2361], Nr automatu: [5239]
2017-03-09 7:24:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41629], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5439], Nr automatu: [5332]
2017-03-09 7:24:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41631], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8080], Nr automatu: [5639]
2017-03-09 7:24:53 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41634], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2562], Nr automatu: [5247]
2017-03-09 7:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41635], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2238], Nr automatu: [5123]
2017-03-09 7:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41636], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2257], Nr automatu: [5124]
2017-03-09 7:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41637], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2258], Nr automatu: [5139]
2017-03-09 7:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41638], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2287], Nr automatu: [5156]
2017-03-09 7:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41639], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2460], Nr automatu: [5191]
2017-03-09 7:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41633], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8144], Nr automatu: [5702]
2017-03-09 7:24:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41640], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2460], Nr automatu: [5159]
2017-03-09 7:32:48 - [INFO] --> Logowanie użytkownika: [rstawieraj]
2017-03-09 7:33:27 - [INFO] --> Podjęte działanie serwisowe: [Montaż w automacie], Serwisant: [Rafał Stawieraj], Urządzenie: [Papier paragonowy], Id urządzenia: [128], Ilość: [-1], Nr boczny pojazdu: [], Nr automatu: [309]
2017-03-09 7:33:27 - [INFO] --> Pobrano nowe urządzenie z automatu, ID service_request: [41705], ID urządzenia: [128], Serwisant: [rstawieraj]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41601], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2605], Nr automatu: [5257]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41602], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41603], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2707], Nr automatu: [5272]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41604], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2713], Nr automatu: [5278]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41605], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2720], Nr automatu: [5824]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41606], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3113], Nr automatu: [5786]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41607], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4409], Nr automatu: [5081]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41608], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4628], Nr automatu: [5747]
2017-03-09 7:36:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [41609], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4608], Nr automatu: [5118]
2017-03-09 7:39:02 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40702], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [569]
2017-03-09 7:40:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39701], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [517]
2017-03-09 7:42:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [39690], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [589]
