2017-05-31 11:30:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82377], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [545]
2017-05-31 11:31:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80831], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [106]
2017-05-31 11:31:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80762], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [571]
2017-05-31 11:31:40 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80588], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [344]
2017-05-31 11:32:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80474], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [396]
2017-05-31 11:36:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [81150], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [319]
2017-05-31 11:41:57 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-05-31 11:45:55 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [82066], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [629]
2017-05-31 11:46:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [78212], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [546]
2017-05-31 11:46:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72188], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [563]
2017-05-31 11:48:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [76244], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [560]
