2017-02-06 12:10:16 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-06 12:10:54 - [INFO] --> Logowanie użytkownika: [serwisant1]
2017-02-06 12:13:34 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-06 12:35:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25458], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [292]
2017-02-06 12:35:29 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25910], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [334]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25911], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [268]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25912], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [180]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25632], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [422]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25633], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [206]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26013], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [218]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26014], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [102]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26014], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [102]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26015], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [316]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26313], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [305]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26313], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [305]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26316], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [110]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26012], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [113]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26016], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [316]
2017-02-06 12:35:30 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25688], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [282]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25688], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [282]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25690], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [131]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26066], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [202]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26067], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [178]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26068], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [496]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26374], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [295]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [26375], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [133]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25689], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [177]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25689], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [177]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25380], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [117]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25380], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [117]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25532], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [300]
2017-02-06 12:35:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [25533], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [348]
