2017-03-07 9:38:53 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-03-07 9:43:02 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40348], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2270], Nr automatu: [5143]
2017-03-07 9:43:02 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40349], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3001], Nr automatu: [5282]
2017-03-07 9:43:02 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40324], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7309], Nr automatu: [5415]
2017-03-07 9:43:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40314], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5405], Nr automatu: [5417]
2017-03-07 9:47:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40351], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2289], Nr automatu: [5158]
2017-03-07 9:47:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40352], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2297], Nr automatu: [5175]
2017-03-07 9:47:48 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40353], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2306], Nr automatu: [5171]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40354], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2386], Nr automatu: [5343]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40355], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3002], Nr automatu: [5283]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40356], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3010], Nr automatu: [5291]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40357], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3112], Nr automatu: [5783]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40358], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3123], Nr automatu: [5805]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40359], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3123], Nr automatu: [5806]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40360], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3129], Nr automatu: [5817]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40361], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3001], Nr automatu: [5282]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40362], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4402], Nr automatu: [5360]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40363], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4615], Nr automatu: [5466]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40364], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4617], Nr automatu: [5476]
2017-03-07 9:47:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [40365], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4638], Nr automatu: [5486]
2017-03-07 9:55:45 - [INFO] --> Logowanie użytkownika: [mjanek]
