2017-02-23 9:30:45 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-02-23 9:31:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34307], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [129]
2017-02-23 9:31:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34308], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [350]
2017-02-23 9:31:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34309], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [241]
2017-02-23 9:31:38 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34310], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [140]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34311], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [200]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34313], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [390]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34527], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [201]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34248], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [105]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34250], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [398]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34247], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [105]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34443], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [246]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34444], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [184]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34445], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [332]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34445], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [332]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34251], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [127]
2017-02-23 9:31:39 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [34486], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [247]
