2017-03-03 9:43:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [36879], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [346]
2017-03-03 9:43:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37400], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [391]
2017-03-03 9:43:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37401], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [246]
2017-03-03 9:43:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [37402], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [334]
2017-03-03 9:43:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38072], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [101]
2017-03-03 9:43:43 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38073], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [112]
2017-03-03 9:43:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38074], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [307]
2017-03-03 9:43:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38075], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [395]
2017-03-03 9:43:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38077], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [109]
2017-03-03 9:43:44 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [38078], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [116]
