2017-03-23 7:34:51 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-03-23 7:38:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49105], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8084], Nr automatu: [5643]
2017-03-23 7:38:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49106], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8086], Nr automatu: [5645]
2017-03-23 7:38:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49104], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8084], Nr automatu: [5643]
2017-03-23 7:38:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49107], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8096], Nr automatu: [5655]
2017-03-23 7:38:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49108], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8105], Nr automatu: [5664]
2017-03-23 7:38:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49109], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8121], Nr automatu: [5679]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49071], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3009], Nr automatu: [5290]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49072], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2500], Nr automatu: [5049]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49073], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2516], Nr automatu: [5061]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49074], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2524], Nr automatu: [5069]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49075], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2333], Nr automatu: [5235]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49076], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2429], Nr automatu: [5382]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49077], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2431], Nr automatu: [5380]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49078], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2701], Nr automatu: [5266]
2017-03-23 7:40:16 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49079], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-03-23 7:40:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49080], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2710], Nr automatu: [5275]
2017-03-23 7:40:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49081], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3102], Nr automatu: [5763]
2017-03-23 7:40:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [49082], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4408], Nr automatu: [5018]
