2017-08-02 7:28:56 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-08-02 7:32:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118872], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2726], Nr automatu: [5830]
2017-08-02 7:32:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118874], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3012], Nr automatu: [5293]
2017-08-02 7:32:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118875], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3013], Nr automatu: [5294]
2017-08-02 7:32:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118887], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3103], Nr automatu: [5766]
2017-08-02 7:32:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118897], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3118], Nr automatu: [5795]
2017-08-02 7:32:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118898], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3118], Nr automatu: [5796]
2017-08-02 7:32:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118899], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3128], Nr automatu: [5816]
2017-08-02 7:32:22 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118900], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4641], Nr automatu: [5757]
2017-08-02 7:39:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118860], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2292], Nr automatu: [5161]
2017-08-02 7:39:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118861], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2310], Nr automatu: [5175]
2017-08-02 7:39:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118862], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2341], Nr automatu: [5314]
2017-08-02 7:39:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118863], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2349], Nr automatu: [5320]
2017-08-02 7:39:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118865], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5412], Nr automatu: [5554]
2017-08-02 7:39:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118867], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7033], Nr automatu: [5601]
2017-08-02 7:39:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118868], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8062], Nr automatu: [5621]
2017-08-02 7:39:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118870], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8098], Nr automatu: [5657]
2017-08-02 7:39:25 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118871], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8136], Nr automatu: [5694]
2017-08-02 7:47:17 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [118700], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [591]
2017-08-02 7:53:02 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [110089], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [533]
