2017-09-05 7:37:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [134854], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [528]
2017-09-05 7:37:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [134855], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [559]
2017-09-05 7:37:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [136165], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [517]
2017-09-05 7:37:21 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [136166], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [558]
2017-09-05 7:38:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [135703], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [527]
2017-09-05 7:38:58 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [135704], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [526]
2017-09-05 7:38:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [136394], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [566]
2017-09-05 7:38:59 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [136395], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [529]
2017-09-05 7:43:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [134518], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [585]
2017-09-05 7:43:35 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [134519], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [605]
2017-09-05 7:43:54 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [136113], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [635]
2017-09-05 7:44:27 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [135128], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [571]
2017-09-05 7:45:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [134861], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [540]
2017-09-05 7:45:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [134862], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [511]
2017-09-05 7:45:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [134863], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [565]
2017-09-05 7:45:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [136397], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [500]
2017-09-05 7:45:36 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [136397], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [500]
