2017-03-19 11:43:56 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-03-19 11:55:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46870], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2806], Nr automatu: [5470]
2017-03-19 11:55:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46871], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2204], Nr automatu: [5099]
2017-03-19 11:55:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46872], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2393], Nr automatu: [5352]
2017-03-19 11:55:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46873], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3017], Nr automatu: [5298]
2017-03-19 11:56:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46851], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [531]
2017-03-19 11:56:11 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46851], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [], Nr automatu: [531]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46893], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4614], Nr automatu: [5465]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46894], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4622], Nr automatu: [5555]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46895], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5405], Nr automatu: [5740]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46896], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5412], Nr automatu: [5554]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46897], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7306], Nr automatu: [5412]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46898], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7314], Nr automatu: [5420]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46899], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7321], Nr automatu: [5427]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46900], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8123], Nr automatu: [5681]
2017-03-19 11:57:24 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46901], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8125], Nr automatu: [5683]
2017-03-19 11:59:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46874], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3127], Nr automatu: [5813]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46875], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3126], Nr automatu: [5811]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46876], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3017], Nr automatu: [5298]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46877], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3015], Nr automatu: [5296]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46878], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2321], Nr automatu: [5308]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46879], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2481], Nr automatu: [5198]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46880], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2435], Nr automatu: [5386]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46881], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2393], Nr automatu: [5352]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46882], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2288], Nr automatu: [5157]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46883], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2264], Nr automatu: [5218]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46884], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2252], Nr automatu: [5135]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46885], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2204], Nr automatu: [5099]
2017-03-19 11:59:19 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46886], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3208], Nr automatu: [5120]
2017-03-19 11:59:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46887], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2806], Nr automatu: [5470]
2017-03-19 11:59:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46888], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2565], Nr automatu: [5251]
2017-03-19 11:59:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46889], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2522], Nr automatu: [5067]
2017-03-19 11:59:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46890], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2332], Nr automatu: [5300]
2017-03-19 11:59:20 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [46891], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2276], Nr automatu: [5220]
