2017-05-08 8:09:08 - [INFO] --> Logowanie użytkownika: [kjasinski]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70520], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2316], Nr automatu: [5526]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70521], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2324], Nr automatu: [5228]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70522], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2527], Nr automatu: [5074]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70523], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2366], Nr automatu: [5329]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70524], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2429], Nr automatu: [5382]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70525], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3003], Nr automatu: [5284]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70526], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3010], Nr automatu: [5291]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70527], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3127], Nr automatu: [5814]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70528], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3128], Nr automatu: [5815]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70529], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4619], Nr automatu: [5503]
2017-05-08 8:12:03 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70530], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4631], Nr automatu: [5464]
2017-05-08 8:12:04 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70516], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2527], Nr automatu: [5074]
2017-05-08 8:12:04 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70517], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2429], Nr automatu: [5382]
2017-05-08 8:12:04 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [70518], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3003], Nr automatu: [5284]
