2017-05-26 10:11:19 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-05-26 10:12:28 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79912], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [494]
2017-05-26 10:13:12 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79237], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [221]
2017-05-26 10:13:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [78976], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [291]
2017-05-26 10:14:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [80055], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [405]
2017-05-26 10:17:45 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [78692], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [134]
2017-05-26 10:19:18 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79052], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [486]
2017-05-26 10:19:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [78975], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [285]
2017-05-26 10:19:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79053], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [223]
2017-05-26 10:19:57 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [79054], przez uzytkownika: [ktomaszewski], Nr boczny pojazdu: [], Nr automatu: [478]
2017-05-26 10:34:19 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
